kvíz_neve;meghatározás_A; meghatározás_B;kép1;kép2;kép3
[ 2] Epikus Arany;A főszereplő segítője;Bence;Bence.jpg
[ 2] Epikus Arany;„Hírhozó”;János;János.jpg
[ 2] Epikus Arany;Legyőzött vitéz;Bertalan;Bertalan.jfif
[ 2] Epikus Arany;Király;Lajos;Lajos.jpg
[ 2] Epikus Arany;Toldi keresztneve;Miklós;Toldi.jpg;ToldiMiklos.png;Miklós.jpg
[ 2] Epikus Arany;Testőrök parancsnoka;Simon;Simon.jpg
[ 8] Madách Ember Tragédiája;Ezeket a témákat érinti a mű;Sors, szabadság, erkölcs;szabadsag.jpg
[ 8] Madách Ember Tragédiája;Ezek a műre jellemző stílusjegyek;Drámai, tragikus, filozofikus;filozofia.jpg
[ 8] Madách Ember Tragédiája;Ilyen ágakon kapcsolódik a mű a XIX. századi filozófiai és társadalmi gondolkodáshoz;Realizmus, idealizmus, szabadság;idealizmus.jpg
[ 8] Madách Ember Tragédiája;Ilyen módon reflektál Madách Imre a kor társadalmi és politikai eseményeire a művében;Forradalom, szabadságharc, társadalmi változások;forradalom.jpg;szabharc.jpg;tarsadalmivaltozas.jpg
[ 8] Madách Ember Tragédiája;Így ábrázolja Madách Imre az emberi szenvedést és az élet értelmét a művében;Kétség, küzdelem, megvilágosodás;megvilagosodas.jpg
[19] Jókai Mór Aranyember;Terézáék macskája;Narcissza;macska.jpg;narcisz.jpg;terezmacska.jfif
[19] Jókai Mór Aranyember;Brazovics úr felesége;Zófia;Zofia.jpg
[19] Jókai Mór Aranyember;Timár és Noémi dédunokája;Tímár Noémi;unoka.jpg
[19] Jókai Mór Aranyember;a Szent Borbála hajóbiztosa;Tímár Mihály;Borbála.jfif
[19] Jókai Mór Aranyember;csavargó, később brazíliai kereskedő;Krisztyán Tódor;csavargó.jpg
